Key,English,Japanese
attUnlocksDesc,Track unlocked recipes and quality. ,解放済みレシピと品質を追跡します。
attUnlocksDescRank1Desc,Unlock crafting ,クラフトを解放
attUnlocksName,Unlock Tracker ,アンロックトラッカー
skillunlocksModsName,Mods ,MOD
skillunlocksFoodsName,Food ,食料
skillunlocksArmorsName,Armor ,防具
skillunlocksApparelsName,Apparel ,衣服
skillunlocksAmmosName,Ammo ,弾薬
skillunlocksResourcesName,Resources ,資源
apparelLongShirtGroupDesc,N/A
modRoboticDroneCargoDesc,N/A
modRoboticDroneMedicDesc,N/A
modRoboticDroneHeadlampDesc,N/A
modRoboticDroneArmorPlatingDesc,N/A
modRoboticMoraleBoosterDesc,N/A
plantedGraceCorn1Desc,N/A
skillunlocksQualityName,Quality ,品質
attUnlocksQualityQ2Desc,Unlock quality level 2 crafting ,品質2のクラフトを解放
attUnlocksQualityQ3Desc,Unlock quality level 3 crafting ,品質3のクラフトを解放
attUnlocksQualityQ4Desc,Unlock quality level 4 crafting ,品質4のクラフトを解放
attUnlocksQualityQ5Desc,Unlock quality level 5 crafting ,品質5のクラフトを解放
attUnlocksQualityQ6Desc,Unlock quality level 6 crafting ,品質6のクラフトを解放
attUnlocksQualityQ1Desc,Unlock quality level 1 crafting ,品質1のクラフトを解放
skillunlocksQuality_armorAssassinBootsName,Assassin Boots ,アサシンブーツ
skillunlocksQuality_armorAssassinGlovesName,Assassin Gloves ,アサシングローブ
skillunlocksQuality_armorAssassinHelmetName,Assassin Hood ,アサシンフード
skillunlocksQuality_armorAssassinOutfitName,Assassin Outfit ,アサシン衣装
skillunlocksQuality_armorAthleticBootsName,Athletic Shoes ,アスリートシューズ
skillunlocksQuality_armorAthleticGlovesName,Athletic Gloves ,アスリートグローブ
skillunlocksQuality_armorAthleticHelmetName,Athletic Hat ,アスリートハット
skillunlocksQuality_armorAthleticOutfitName,Athletic Outfit ,アスリート衣装
skillunlocksQuality_armorBikerBootsName,Biker Boots ,バイカーブーツ
skillunlocksQuality_armorBikerGlovesName,Biker Gloves ,バイカーグローブ
skillunlocksQuality_armorBikerHelmetName,Biker Helmet ,バイカーヘルメット
skillunlocksQuality_armorBikerOutfitName,Biker Outfit ,バイカー衣装
skillunlocksQuality_armorCommandoBootsName,Commando Boots ,コマンドーブーツ
skillunlocksQuality_armorCommandoGlovesName,Commando Gloves ,コマンドーグローブ
skillunlocksQuality_armorCommandoHelmetName,Commando Helmet ,コマンドーヘルメット
skillunlocksQuality_armorCommandoOutfitName,Commando Outfit ,コマンドー衣装
skillunlocksQuality_armorEnforcerBootsName,Enforcer Shoes ,執行者靴
skillunlocksQuality_armorEnforcerGlovesName,Enforcer Gloves ,執行者グローブ
skillunlocksQuality_armorEnforcerHelmetName,Enforcer Sunglasses ,執行者サングラス
skillunlocksQuality_armorEnforcerOutfitName,Enforcer Outfit ,執行者衣装
skillunlocksQuality_armorFarmerBootsName,Farmer Boots ,農夫ブーツ
skillunlocksQuality_armorFarmerGlovesName,Farmer Gloves ,農夫グローブ
skillunlocksQuality_armorFarmerHelmetName,Farmer Hat ,農夫ハット
skillunlocksQuality_armorFarmerOutfitName,Farmer Outfit ,農夫衣装
skillunlocksQuality_armorHeavyMasterName,armor Heavy Master
skillunlocksQuality_armorLightMasterName,armor Light Master
skillunlocksQuality_armorLumberjackBootsName,Lumberjack Boots ,木こりブーツ
skillunlocksQuality_armorLumberjackGlovesName,Lumberjack Gloves ,木こりグローブ
skillunlocksQuality_armorLumberjackHelmetName,Lumberjack Hat ,木こりハット
skillunlocksQuality_armorLumberjackOutfitName,Lumberjack Outfit ,木こり衣装
skillunlocksQuality_armorMediumMasterName,armor Medium Master
skillunlocksQuality_armorMinerBootsName,Miner Boots ,鉱夫ブーツ
skillunlocksQuality_armorMinerGlovesName,Miner Gloves ,鉱夫グローブ
skillunlocksQuality_armorMinerHelmetName,Miner Helmet ,鉱夫ヘルメット
skillunlocksQuality_armorMinerOutfitName,Miner Outfit ,鉱夫衣装
skillunlocksQuality_armorNerdBootsName,Nerd Boots ,オタクブーツ
skillunlocksQuality_armorNerdGlovesName,Nerd Gloves ,オタクグローブ
skillunlocksQuality_armorNerdHelmetName,Nerd Goggles ,オタクゴーグル
skillunlocksQuality_armorNerdOutfitName,Nerd Outfit ,オタク衣装
skillunlocksQuality_armorNomadBootsName,Nomad Boots ,遊牧民ブーツ
skillunlocksQuality_armorNomadGlovesName,Nomad Gloves ,遊牧民グローブ
skillunlocksQuality_armorNomadHelmetName,Nomad Headgear ,遊牧民ヘッドギア
skillunlocksQuality_armorNomadOutfitName,Nomad Outfit ,遊牧民衣装
skillunlocksQuality_armorPreacherBootsName,Preacher Boots ,説教者ブーツ
skillunlocksQuality_armorPreacherGlovesName,Preacher Gloves ,説教者グローブ
skillunlocksQuality_armorPreacherHelmetName,Preacher Hat ,説教者ハット
skillunlocksQuality_armorPreacherOutfitName,Preacher Outfit ,説教者衣装
skillunlocksQuality_armorPrimitiveBootsName,Primitive Shoes ,原始的な靴
skillunlocksQuality_armorPrimitiveGlovesName,Primitive Gloves ,原始的なグローブ
skillunlocksQuality_armorPrimitiveHelmetName,Primitive Hood ,原始的なフード
skillunlocksQuality_armorPrimitiveMasterName,armor Primitive Master
skillunlocksQuality_armorPrimitiveOutfitName,Primitive Outfit ,原始的な衣装
skillunlocksQuality_armorRaiderBootsName,Raider Boots ,レイダーブーツ
skillunlocksQuality_armorRaiderGlovesName,Raider Gloves ,レイダーグローブ
skillunlocksQuality_armorRaiderHelmetName,Raider Helmet ,レイダーヘルメット
skillunlocksQuality_armorRaiderOutfitName,Raider Outfit ,レイダー衣装
skillunlocksQuality_armorRangerBootsName,Ranger Boots ,レンジャーブーツ
skillunlocksQuality_armorRangerGlovesName,Ranger Gloves ,レンジャーグローブ
skillunlocksQuality_armorRangerHelmetName,Ranger Hat ,レンジャーハット
skillunlocksQuality_armorRangerOutfitName,Ranger Outfit ,レンジャー衣装
